Id,SalePrice
1461,115928.5
1462,152308.078125
1463,174683.359375
1464,185619.140625
1465,193606.140625
1466,177180.0625
1467,170768.3125
1468,166397.84375
1469,202393.609375
1470,126536.53125
1471,192239.453125
1472,100196.289062
1473,98122.21875
1474,154574.0
1475,128408.523438
1476,399320.9375
1477,256500.09375
1478,295557.28125
1479,285304.8125
1480,495373.90625
1481,325825.53125
1482,210626.359375
1483,164265.265625
1484,168772.53125
1485,178410.046875
1486,195540.75
1487,354362.9375
1488,234369.859375
1489,204776.21875
1490,218582.03125
1491,189072.46875
1492,88582.4921875
1493,184252.3125
1494,303911.9375
1495,297916.1875
1496,237046.421875
1497,190122.8125
1498,161980.75
1499,164057.03125
1500,148339.984375
1501,170095.765625
1502,158060.59375
1503,288426.34375
1504,235933.34375
1505,220441.21875
1506,192707.859375
1507,246377.171875
1508,193137.40625
1509,160064.890625
1510,145694.65625
1511,139503.953125
1512,168913.71875
1513,141115.5625
1514,159912.140625
1515,209725.53125
1516,156874.84375
1517,168567.953125
1518,134980.59375
1519,219645.09375
1520,131930.28125
1521,131043.773438
1522,171690.875
1523,105671.039062
1524,119356.3125
1525,124102.234375
1526,105269.132812
1527,110528.59375
1528,132716.984375
1529,151074.640625
1530,187401.140625
1531,116621.835938
1532,104298.6875
1533,145418.15625
1534,120191.296875
1535,152439.796875
1536,103326.445312
1537,67057.921875
1538,168795.453125
1539,198147.328125
1540,96288.3125
1541,140397.328125
1542,138339.515625
1543,225635.5
1544,85291.5546875
1545,111204.75
1546,133188.484375
1547,128920.867188
1548,140091.328125
1549,115794.71875
1550,139933.640625
1551,124376.53125
1552,149620.703125
1553,152834.421875
1554,117954.953125
1555,161879.59375
1556,79006.859375
1557,98602.296875
1558,101115.90625
1559,81342.921875
1560,136212.96875
1561,139834.734375
1562,131917.203125
1563,122076.5625
1564,161295.640625
1565,150155.40625
1566,223935.609375
1567,68625.0234375
1568,219652.15625
1569,131078.0625
1570,136625.0625
1571,125537.25
1572,146103.953125
1573,257075.15625
1574,120676.226562
1575,234672.125
1576,214631.828125
1577,193760.796875
1578,141674.5
1579,140937.3125
1580,197045.9375
1581,136987.453125
1582,127473.132812
1583,330973.28125
1584,220717.09375
1585,140560.0
1586,80800.3828125
1587,95550.6953125
1588,154621.625
1589,104671.640625
1590,140674.5625
1591,97742.78125
1592,128326.875
1593,135186.703125
1594,148242.921875
1595,107667.703125
1596,254010.578125
1597,174404.6875
1598,203238.4375
1599,196873.40625
1600,184866.453125
1601,77277.796875
1602,112329.539062
1603,81184.453125
1604,282861.15625
1605,244901.234375
1606,167244.296875
1607,166873.109375
1608,224258.765625
1609,197726.046875
1610,143209.75
1611,133511.796875
1612,172467.5625
1613,159642.546875
1614,129109.890625
1615,95211.96875
1616,71636.40625
1617,95489.9140625
1618,124640.328125
1619,130192.828125
1620,168878.609375
1621,133653.1875
1622,145798.015625
1623,296393.1875
1624,199534.265625
1625,121157.5625
1626,164746.6875
1627,179202.828125
1628,287670.75
1629,184120.140625
1630,409180.1875
1631,225036.53125
1632,237672.71875
1633,172670.59375
1634,182019.25
1635,185116.625
1636,160506.859375
1637,202516.828125
1638,205304.46875
1639,184752.203125
1640,257149.6875
1641,180862.578125
1642,225018.265625
1643,214047.125
1644,224506.046875
1645,195660.578125
1646,159961.421875
1647,168502.75
1648,132062.671875
1649,133686.328125
1650,117705.9375
1651,131832.0
1652,100231.773438
1653,99111.4453125
1654,151046.90625
1655,150164.984375
1656,144573.4375
1657,151026.65625
1658,144795.96875
1659,137690.359375
